Constituency Name,Latitude,Longitude
मकवानपुर क्षेत्र नं. 2,27.4333,84.9500
रौतहट क्षेत्र नं. 1,26.9500,85.3500
रौतहट क्षेत्र नं. 2,26.9167,85.3000
रौतहट क्षेत्र नं. 3,26.8833,85.2500
रौतहट क्षेत्र नं. 4,26.8500,85.2000
बारा क्षेत्र नं. 1,27.1000,85.0500
बारा क्षेत्र नं. 2,27.0667,85.0000
बारा क्षेत्र नं. 3,27.0333,84.9500
बारा क्षेत्र नं. 4,27.0000,84.9000
पर्सा क्षेत्र नं. 1,27.1500,84.8833
पर्सा क्षेत्र नं. 2,27.1000,84.8333
पर्सा क्षेत्र नं. 3,27.0500,84.7833
पर्सा क्षेत्र नं. 4,27.0000,84.7500
चितवन क्षेत्र नं. 1,27.6000,84.5500
चितवन क्षेत्र नं. 2,27.5833,84.4500
चितवन क्षेत्र नं. 3,27.5500,84.3500
गोरखा क्षेत्र नं. 1,28.2500,84.8500
गोरखा क्षेत्र नं. 2,28.0500,84.6500
मनाङ क्षेत्र नं. 1,28.5500,84.2333
लमजुङ क्षेत्र नं. 1,28.2333,84.3833
कास्की क्षेत्र नं. 1,28.2833,84.0500
कास्की क्षेत्र नं. 2,28.2333,83.9833
कास्की क्षेत्र नं. 3,28.2000,83.9500
तनहुँ क्षेत्र नं. 1,27.9500,84.2500
तनहुँ क्षेत्र नं. 2,27.9333,84.1000
स्याङजा क्षेत्र नं. 1,28.0500,83.8833
स्याङजा क्षेत्र नं. 2,27.9833,83.7833
गुल्मी क्षेत्र नं. 1,28.0833,83.3500
गुल्मी क्षेत्र नं. 2,28.0667,83.2000
पाल्पा क्षेत्र नं. 1,27.8667,83.6500
पाल्पा क्षेत्र नं. 2,27.8333,83.5000
अर्घाखाँची क्षेत्र नं. 1,27.9500,83.1500
नवलपरासी (बर्दघाट सुस्ता पूर्व) क्षेत्र नं. 1,27.6500,84.1500
नवलपरासी (बर्दघाट सुस्ता पूर्व) क्षेत्र नं. 2,27.6333,84.0000
रूपन्देही क्षेत्र नं. 1,27.5500,83.5500
रूपन्देही क्षेत्र नं. 2,27.5333,83.4833
रूपन्देही क्षेत्र नं. 3,27.5167,83.4167
रूपन्देही क्षेत्र नं. 4,27.5000,83.3667
रूपन्देही क्षेत्र नं. 5,27.4833,83.3000
कपिलबस्तु क्षेत्र नं. 1,27.6000,83.1500
कपिलबस्तु क्षेत्र नं. 2,27.5833,83.0500
कपिलबस्तु क्षेत्र नं. 3,27.5500,82.9500
मुस्ताङ क्षेत्र नं. 1,28.9833,83.8500
म्याग्दी क्षेत्र नं. 1,28.5333,83.5500
बाग्लुङ क्षेत्र नं. 1,28.3167,83.6000
बाग्लुङ क्षेत्र नं. 2,28.3000,83.3000
पर्वत क्षेत्र नं. 1,28.2167,83.6833
रुकुम (पूर्वी भाग) क्षेत्र नं. 1,28.6167,82.8333
रोल्पा क्षेत्र नं. 1,28.3500,82.6333
प्यूठान क्षेत्र नं. 1,28.1000,82.8500
सल्यान क्षेत्र नं. 1,28.3833,82.1833
दाङ क्षेत्र नं. 1,27.9500,82.5500
दाङ क्षेत्र नं. 2,28.0000,82.4000
दाङ क्षेत्र नं. 3,28.0500,82.2500
डोल्पा क्षेत्र नं. 1,29.1000,83.0000
मुगु क्षेत्र नं. 1,29.5833,82.3500
जुम्ला क्षेत्र नं. 1,29.2833,82.1833
कालिकोट क्षेत्र नं. 1,29.1833,81.7500
हुम्ला क्षेत्र नं. 1,29.9833,81.8333
जाजरकोट क्षेत्र नं. 1,28.8500,82.2000
दैलेख क्षेत्र नं. 1,28.8500,81.7500
दैलेख क्षेत्र नं. 2,28.8333,81.6000
सुर्खेत क्षेत्र नं. 1,28.6000,81.6500
सुर्खेत क्षेत्र नं. 2,28.5833,81.4500
बाँके क्षेत्र नं. 1,28.1500,81.8000
बाँके क्षेत्र नं. 2,28.1167,81.7000
बाँके क्षेत्र नं. 3,28.0833,81.6000
बर्दिया क्षेत्र नं. 1,28.3500,81.4500
बर्दिया क्षेत्र नं. 2,28.3167,81.2500
बाजुरा क्षेत्र नं. 1,29.5000,81.5500
अछाम क्षेत्र नं. 1,29.0833,81.3500
अछाम क्षेत्र नं. 2,29.0667,81.2000
बझाङ क्षेत्र नं. 1,29.6500,81.2000
डोटी क्षेत्र नं. 1,29.1500,80.9833
कैलाली क्षेत्र नं. 1,28.7500,81.1500
कैलाली क्षेत्र नं. 2,28.7333,81.0000
कैलाली क्षेत्र नं. 3,28.7167,80.8833
कैलाली क्षेत्र नं. 4,28.7000,80.7500
कैलाली क्षेत्र नं. 5,28.6833,80.6000
दार्चुला क्षेत्र नं. 1,29.8500,80.6500
बैतडी क्षेत्र नं. 1,29.5167,80.5500
डडेलधुरा क्षेत्र नं. 1,29.2833,80.5833
कञ्चनपुर क्षेत्र नं. 1,28.9500,80.3500
कञ्चनपुर क्षेत्र नं. 2,28.9000,80.2667
कञ्चनपुर क्षेत्र नं. 3,28.8500,80.1833
नवलपरासी (बर्दघाट सुस्ता पश्चिम) क्षेत्र नं. 1,27.5333,83.7500
नवलपरासी (बर्दघाट सुस्ता पश्चिम) क्षेत्र नं. 2,27.5167,83.6500
रुकुम (पश्चिम भाग) क्षेत्र नं. 1,28.6500,82.4500
